Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-09-10,H (Mar 2026),21.6000,21.6700,21.5000,21.6200,21.625,0.000,1152,0,7332
2025-09-11,H (Mar 2026),21.5500,21.5500,21.3500,21.4000,21.375,-0.250,1330,0,7421
2025-09-12,H (Mar 2026),21.3600,21.4500,21.3200,21.4200,21.40,0.025,1161,0,7605
2025-09-15,H (Mar 2026),21.4500,21.5000,21.3500,21.4800,21.4592,0.0592,2088,0,8335
2025-09-16,H (Mar 2026),21.4800,21.7000,21.4500,21.6200,21.6451,0.1859,3801,0,9968
2025-09-17,H (Mar 2026),21.5800,21.6500,21.2600,21.3500,21.3741,-0.2710,3956,0,10491
2025-09-18,H (Mar 2026),21.4000,21.4000,21.2500,21.3800,21.375,0.0009,1712,0,10846
2025-09-19,H (Mar 2026),21.3500,21.4500,21.3000,21.3600,21.35,-0.025,1417,0,10909
2025-09-22,H (Mar 2026),21.3100,21.5500,21.3100,21.4800,21.525,0.175,2210,0,11684
2025-09-23,H (Mar 2026),21.4900,21.7000,21.3700,21.5900,21.625,0.100,3834,0,12728
2025-09-24,H (Mar 2026),21.5900,21.8500,21.4500,21.5100,21.55,-0.075,3872,0,13508
2025-09-25,H (Mar 2026),21.5000,21.7600,21.4400,21.5700,21.622,0.072,1662,0,13812
2025-09-26,H (Mar 2026),21.6100,21.6600,21.2000,21.2200,21.204,-0.418,2519,0,13888
2025-09-29,H (Mar 2026),21.2000,21.3500,21.1000,21.3500,21.275,0.071,1403,0,13915
2025-09-30,H (Mar 2026),21.3200,21.4300,21.1500,21.3000,21.2321,-0.0429,3541,0,15391
2025-10-01,H (Mar 2026),21.3000,21.4300,21.1000,21.2200,21.1987,-0.0334,2784,0,15605
2025-10-02,H (Mar 2026),21.2000,21.3500,21.1500,21.3200,21.325,0.1263,2148,0,15496
2025-10-03,H (Mar 2026),21.2500,21.4200,21.2000,21.3000,21.3031,-0.0219,1627,0,15598
2025-10-06,H (Mar 2026),21.3500,21.3800,21.2200,21.2700,21.303,-0.0001,1917,0,16093
2025-10-07,H (Mar 2026),21.2700,21.5700,21.2200,21.4200,21.45,0.147,2952,0,16966
2025-10-08,H (Mar 2026),21.4000,21.5000,21.2000,21.4000,21.4974,0.0474,1974,0,17327
2025-10-09,H (Mar 2026),21.3500,21.6000,21.3000,21.4700,21.4783,-0.0191,2469,0,17060
2025-10-10,H (Mar 2026),21.4900,22.5200,21.4500,22.5000,22.105,0.6267,6856,0,17767
2025-10-13,H (Mar 2026),21.8500,22.2000,21.4000,21.5600,21.49,-0.615,6108,0,17800
2025-10-14,H (Mar 2026),21.5000,22.2200,21.4400,21.8900,21.8498,0.3598,5761,0,18226
2025-10-15,H (Mar 2026),21.9000,22.2100,21.6000,21.8600,21.8488,-0.0010,4798,0,19183
2025-10-16,H (Mar 2026),21.8500,22.5500,21.6500,22.4200,22.4038,0.5550,6939,0,19613
2025-10-17,H (Mar 2026),22.3700,22.8000,21.7000,21.8100,21.8026,-0.6012,5636,0,19664
